TickerId;fund_asset_class_focus;cj_micro_geo;exch_code;cj_micro_asset_class;custom_asset_class_2;n_group;c_equity_type;cj_strategy;fund_mkt_cap_focus;fund_incept_dt;fund_expense_ratio;exchange_geography;front_load;cj_eur_hedged;n_gics_2;n_gics_3;n_gics_1;profilo_duration;gics_industry_group;equity_sectors;is_filled;c_fund_strategy;currency_hedged_indicator;res_update_asset_class;esignal_ticker;etf_undl_index_ticker;dvd_currency;ravenna_currency;back_load;valeur_macro;custom_asset_class;c_fund_geo_focus_1;c_fund_geo_focus_2;company_name;n_bics_1;n_bics_2;c_fixed_income_risk;i_sector;c_fund_mkt_cap_focus;fund_geo_focus;profilo_asset_class;n_bics_3;fund_euro_direct_ucits;i_sub_group;i_group;is_customised;alive;georgia_micro_asset_class;fund_typ;fund_rtg_class_focus;economic_association;fund_benchmark_prim;c_fund_industry_focus;fund_maturity_band_focus;c_fund_typ;fund_total_assets_crncy;cj_asset_class;n_icb_3;n_icb_2;n_icb_1;gics_industry;exchange_country;fund_industry_focus;currency;profilo_currency;credinvest_duration;fund_assets_usd;gics_sector;replication_strategy;ticker;n_sub_group;fund_strategy;c_economic_association;profilo_id;c_fund_rtg_class_focus;c_fund_asset_class_focus;last_val;fx_exposure;cj_macro_geo;fund_open_shr_class;n_sector;isin;;;
3317;;null;NA;null;null;REITS;null;null;;;;Europe;;null;Real Estate;Equity Real Estate Investment;Real Estate;null;6010;null;false;;;null;URW-EEB;;EUR;null;;null;Single Stock;;;Unibail-Rodamco-Westfield;Real Estate;Real Estate;null;10008;;;null;REIT;;179;20057;false;true;null;;;;;;;;;null;Real Estate Investment Trusts;Real Estate;Real Estate;601010;Netherlands;;EUR;null;null;;60;;URW NA Equity;REITS-Shopping Centers;;;null;;;null;null;null;;Financial;FR0013326246;;;
3301;;null;GY;null;null;Chemicals;null;null;;;;Europe;;null;Materials;Chemicals;Materials;null;1510;null;false;;;null;LINU-XET;;;null;;null;Single Stock;;;Linde AG;Materials;Materials;null;0;;;null;Chemicals;;0;0;false;false;null;;;;;;;;;null;Chemicals;Chemicals;Basic Materials;151010;Germany;;EUR;null;null;;15;;LINU GY Equity;Industrial Gases;;;null;;;2,0181E+13;null;null;;Basic Materials;;;;
3291;;null;GY;null;null;Chemicals;null;null;;;;Europe;;null;Materials;Chemicals;Materials;null;1510;null;false;;;null;LIN-XET;;USD;null;;null;Single Stock;;;Linde PLC;Materials;Materials;null;10002;;;null;Chemicals;;693;20010;false;true;null;;;;;;;;;null;Chemicals;Chemicals;Basic Materials;151010;Germany;;EUR;null;null;;15;;LIN GY Equity;Industrial Gases;;;null;;;null;null;null;;Basic Materials;IE00BZ12WP82;;;
3268;;null;GY;null;null;Electric;null;null;;;;Europe;;null;Utilities;Independent Power and Renewabl;Utilities;null;5510;null;false;;;null;UN01-XET;;EUR;null;;null;Single Stock;;;Uniper SE;Utilities;Utilities;null;10014;;;null;Electric Utilities;;264;20110;false;true;null;;;;;;;;;null;Gas; Water and Multi-utilities;Utilities;Utilities;551050;Germany;;EUR;null;null;;55;;UN01 GY Equity;Electric-Generation;;;null;;;null;null;null;;Utilities;DE000UNSE018;;
3243;;null;GY;null;null;Electrical Compo&Equip;null;null;;;;Europe;;null;Capital Goods;Electrical Equipment;Industrials;null;2010;null;false;;;null;OSR-XET;;;null;;null;Single Stock;;;OSRAM Licht AG;Industrials;Industrial Products;null;0;;;null;Electrical Equipment;;0;0;false;false;null;;;;;;;;;null;Electronic and Electrical Equipment;Industrial Goods and Services;Industrials;201040;Germany;;EUR;null;null;;20;;OSR GY Equity;Lighting Products&Sys;;;null;;;2,02107E+13;null;null;;Industrial;;;;
3242;;null;SQ;null;null;Commercial Services;null;null;;;;Europe;;null;Software & Services;IT Services;Information Technology;null;4510;null;false;;;null;AMS-MAC;;EUR;null;;null;Single Stock;;;Amadeus IT Group SA;Technology;Software & Tech Services;null;10005;;;null;Technology Services;;84;20038;false;true;null;;;;;;;;;null;Software and Computer Services;Technology;Technology;451020;Spain;;EUR;null;null;;45;;AMS SQ Equity;Commercial Services;;;null;;;null;null;null;;Consumer; Non-cyclical;ES0109067019;;
3236;;null;GY;null;null;Auto Manufacturers;null;null;;;;Europe;;null;Automobiles & Components;Automobiles;Consumer Discretionary;null;2510;null;false;;;null;VOW3-XET;;EUR;null;;null;Single Stock;;;Volkswagen AG;Consumer Discretionary;Consumer Discretionary Products;null;10004;;;null;Automotive;;25;20020;false;true;null;;;;;;;;;null;Automobiles and Parts;Automobiles and Parts;Consumer Discretionary;251020;Germany;;EUR;null;null;;25;;VOW3 GY Equity;Auto-Cars/Light Trucks;;;null;;;null;null;null;;Consumer; Cyclical;DE0007664039;;
3230;;null;NA;null;null;Iron/Steel;null;null;;;;Europe;;null;Materials;Metals & Mining;Materials;null;1510;null;false;;;null;APAM-EEB;;EUR;null;;null;Single Stock;;;APERAM SA;Materials;Materials;null;10002;;;null;Steel;;11;20012;false;true;null;;;;;;;;;null;Industrial Metals and Mining;Basic Resources;Basic Materials;151040;Netherlands;;EUR;null;null;;15;;APAM NA Equity;Steel-Producers;;;null;;;null;null;null;;Basic Materials;LU0569974404;;;
3220;;null;NA;null;null;REITS;null;null;;;;Europe;;null;Real Estate;Equity Real Estate Investment;Real Estate;null;6010;null;false;;;null;null;;;null;;null;Single Stock;;;Unibail-Rodamco-Westfield SE;Real Estate;Real Estate;null;0;;;null;REIT;;0;0;false;false;null;;;;;;;;;null;Real Estate Investment Trusts;Real Estate;Real Estate;601010;Netherlands;;EUR;null;null;;60;;UL NA Equity;REITS-Diversified;;;null;;;2,01806E+13;null;null;;Financial;;;;
3201;;null;GY;null;null;Diversified Finan Serv;null;null;;;;Europe;;null;Diversified Financials;Capital Markets;Financials;null;4020;null;false;;;null;null;;;null;;null;Single Stock;;;Deutsche Boerse AG;Financials;Financial Services;null;0;;;null;Institutional Financial Svcs;;0;0;false;false;null;;;;;;;;;null;Investment Banking and Brokerage Services;Financial Services;Financials;402030;Germany;;EUR;null;null;;40;;63DU GY Equity;Finance-Other Services;;;null;;;2,01202E+13;null;null;;Financial;;;;
